Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca001264-il-200000-n5
Airfoil,naca001264-il
Reynolds number,200000
Ncrit,5
Mach,0
Max Cl/Cd,40.2839
Max Cl/Cd alpha,6.75
Url,http://www.airfoiltools.com/polar/csv?polar=xf-naca001264-il-200000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-4.500,-0.5127,0.01511,0.00644,0.0013,0.9697,0.1177
-4.250,-0.4853,0.01468,0.00613,0.0010,0.9651,0.1440
-4.000,-0.4546,0.01423,0.00585,-0.0001,0.9619,0.1794
-3.750,-0.4227,0.01374,0.00555,-0.0014,0.9595,0.2244
-3.500,-0.4011,0.01313,0.00527,-0.0006,0.9533,0.2921
-3.250,-0.3792,0.01213,0.00495,0.0000,0.9486,0.4303
-3.000,-0.3548,0.01132,0.00480,0.0005,0.9453,0.5670
-2.750,-0.3331,0.01100,0.00478,0.0020,0.9390,0.6386
-2.500,-0.3044,0.01083,0.00475,0.0020,0.9345,0.6829
-2.250,-0.2725,0.01071,0.00473,0.0014,0.9313,0.7185
-2.000,-0.2418,0.01064,0.00474,0.0011,0.9275,0.7505
-1.750,-0.2157,0.01064,0.00482,0.0018,0.9210,0.7811
-1.500,-0.1845,0.01063,0.00486,0.0015,0.9168,0.8053
-1.250,-0.1505,0.01066,0.00492,0.0007,0.9137,0.8252
-1.000,-0.1242,0.01077,0.00507,0.0015,0.9067,0.8450
-0.750,-0.0926,0.01085,0.00516,0.0012,0.9016,0.8600
-0.500,-0.0589,0.01085,0.00515,0.0003,0.8978,0.8696
-0.250,-0.0317,0.01089,0.00519,0.0006,0.8898,0.8774
0.000,0.0000,0.01086,0.00516,0.0000,0.8842,0.8842
0.250,0.0317,0.01089,0.00519,-0.0006,0.8774,0.8898
0.500,0.0589,0.01085,0.00515,-0.0003,0.8696,0.8978
0.750,0.0926,0.01085,0.00516,-0.0012,0.8600,0.9016
1.000,0.1242,0.01077,0.00507,-0.0015,0.8451,0.9066
1.250,0.1505,0.01066,0.00492,-0.0007,0.8252,0.9137
1.500,0.1845,0.01063,0.00486,-0.0015,0.8053,0.9168
1.750,0.2157,0.01064,0.00482,-0.0018,0.7811,0.9210
2.000,0.2418,0.01064,0.00474,-0.0011,0.7505,0.9275
2.250,0.2724,0.01071,0.00473,-0.0014,0.7185,0.9313
2.500,0.3044,0.01083,0.00475,-0.0020,0.6830,0.9345
2.750,0.3331,0.01100,0.00478,-0.0019,0.6385,0.9390
3.000,0.3548,0.01132,0.00480,-0.0005,0.5672,0.9453
3.250,0.3792,0.01212,0.00495,0.0000,0.4305,0.9486
3.500,0.4010,0.01312,0.00527,0.0006,0.2921,0.9533
3.750,0.4227,0.01373,0.00555,0.0014,0.2244,0.9595
4.000,0.4546,0.01423,0.00584,0.0001,0.1793,0.9619
4.250,0.4853,0.01468,0.00613,-0.0010,0.1440,0.9652
4.500,0.5127,0.01511,0.00644,-0.0013,0.1177,0.9697
4.750,0.5415,0.01553,0.00676,-0.0019,0.0978,0.9735
5.000,0.5729,0.01596,0.00714,-0.0030,0.0832,0.9762
5.250,0.6027,0.01638,0.00754,-0.0038,0.0733,0.9798
5.500,0.6301,0.01685,0.00798,-0.0041,0.0663,0.9839
5.750,0.6618,0.01728,0.00844,-0.0053,0.0609,0.9864
6.000,0.6912,0.01785,0.00898,-0.0061,0.0569,0.9895
6.250,0.7204,0.01831,0.00950,-0.0068,0.0541,0.9928
6.500,0.7505,0.01880,0.01003,-0.0077,0.0513,0.9954
6.750,0.7803,0.01937,0.01062,-0.0086,0.0492,0.9981
7.000,0.8047,0.02010,0.01134,-0.0085,0.0476,1.0000
7.250,0.8195,0.02065,0.01194,-0.0063,0.0467,1.0000
7.500,0.8345,0.02120,0.01257,-0.0040,0.0458,1.0000
7.750,0.8494,0.02177,0.01322,-0.0018,0.0447,1.0000
8.000,0.8641,0.02234,0.01385,0.0005,0.0436,1.0000
8.250,0.8787,0.02292,0.01447,0.0027,0.0424,1.0000
8.500,0.8930,0.02354,0.01513,0.0050,0.0414,1.0000
8.750,0.9072,0.02424,0.01587,0.0072,0.0406,1.0000
9.000,0.9213,0.02510,0.01675,0.0094,0.0398,1.0000
9.250,0.9361,0.02612,0.01783,0.0114,0.0390,1.0000
9.500,0.9506,0.02689,0.01875,0.0135,0.0382,1.0000
9.750,0.9647,0.02773,0.01975,0.0157,0.0372,1.0000
10.000,0.9783,0.02866,0.02082,0.0179,0.0364,1.0000
10.250,0.9913,0.02962,0.02191,0.0201,0.0355,1.0000
10.500,1.0036,0.03052,0.02291,0.0223,0.0347,1.0000
10.750,1.0155,0.03138,0.02384,0.0245,0.0339,1.0000
11.000,1.0273,0.03233,0.02483,0.0266,0.0331,1.0000
11.250,1.0384,0.03384,0.02640,0.0285,0.0323,1.0000
11.500,1.0448,0.03513,0.02794,0.0314,0.0318,1.0000
12.000,1.0495,0.03807,0.03139,0.0376,0.0304,1.0000
12.250,1.0504,0.03966,0.03319,0.0404,0.0296,1.0000
12.500,1.0507,0.04132,0.03503,0.0430,0.0290,1.0000
12.750,1.0507,0.04302,0.03689,0.0451,0.0284,1.0000
13.000,1.0503,0.04483,0.03884,0.0470,0.0279,1.0000
13.250,1.0493,0.04678,0.04091,0.0485,0.0275,1.0000
13.500,1.0482,0.04886,0.04309,0.0496,0.0271,1.0000
13.750,1.0458,0.05122,0.04555,0.0504,0.0268,1.0000
14.000,1.0389,0.05430,0.04873,0.0509,0.0265,1.0000
14.250,1.0188,0.05898,0.05371,0.0504,0.0263,1.0000
14.500,0.9948,0.06481,0.05983,0.0483,0.0261,1.0000
14.750,0.9671,0.07205,0.06734,0.0446,0.0261,1.0000
15.000,0.9343,0.08141,0.07694,0.0385,0.0261,1.0000
15.250,0.8921,0.09429,0.09003,0.0297,0.0264,1.0000
